股票代码,股票名称,最低收盘价,最高收盘价,涨幅
301520.SZ,万邦医药,41.83,88.68,112.00%
600721.SH,百花医药,7.20,14.50,101.39%
301080.SZ,百普赛斯,45.00,90.21,100.47%
688137.SH,近岸蛋白,35.46,69.58,96.22%
300720.SZ,海川智能,49.79,94.58,89.96%
300404.SZ,博济医药,9.22,17.34,88.07%
301047.SZ,义翘神州,69.65,130.15,86.86%
002552.SZ,宝鼎科技,32.51,60.65,86.56%
688073.SH,毕得医药,46.35,84.83,83.02%
300903.SZ,科翔股份,43.96,80.29,82.64%
300615.SZ,欣天科技,10.43,19.00,82.17%
300489.SZ,光智科技,141.00,252.00,78.72%
688046.SH,药康生物,23.39,40.95,75.07%
688596.SH,正帆科技,43.50,75.35,73.22%
688530.SH,欧莱新材,38.09,65.80,72.75%
301051.SZ,信濠光电,13.23,22.65,71.20%
688693.SH,锴威特,55.18,94.30,70.90%
688143.SH,长盈通,82.20,140.00,70.32%
603186.SH,华正新材,98.60,167.55,69.93%
301251.SZ,威尔高,28.15,46.58,65.47%
688300.SH,联瑞新材,100.20,165.00,64.67%
600272.SH,开开实业,10.72,17.60,64.18%
603758.SH,秦安股份,9.35,15.35,64.17%
688635.SH,长进光子,216.81,355.55,63.99%
600683.SH,京投发展,7.96,12.93,62.44%
300814.SZ,中富电路,96.01,155.88,62.36%
301230.SZ,泓博医药,24.48,39.60,61.76%
688296.SH,和达科技,14.90,23.99,61.01%
002827.SZ,高争民爆,38.06,61.22,60.85%
688549.SH,中巨芯-U,18.40,29.50,60.33%
600206.SH,有研新材,33.15,52.95,59.73%
002437.SZ,誉衡药业,2.84,4.53,59.51%
300684.SZ,中石科技,42.41,67.36,58.83%
301217.SZ,铜冠铜箔,77.66,123.05,58.45%
603269.SH,海鸥股份,11.19,17.70,58.18%
688202.SH,美迪西,68.88,108.76,57.90%
605179.SH,一鸣食品,21.31,33.43,56.87%
688432.SH,有研硅,26.68,41.74,56.45%
688265.SH,南模生物,33.78,52.42,55.18%
002428.SZ,云南锗业,68.35,105.98,55.05%
688485.SH,九州一轨,46.72,72.10,54.32%
603330.SH,天洋新材,6.95,10.68,53.67%
603093.SH,南华期货,11.89,18.19,52.99%
688392.SH,骄成超声,116.23,177.50,52.71%
600641.SH,先导基电,23.41,35.72,52.58%
688147.SH,微导纳米,79.55,121.38,52.58%
688167.SH,炬光科技,177.72,270.95,52.46%
600162.SH,香江控股,3.10,4.72,52.26%
002655.SZ,共达电声,22.37,33.99,51.94%
000802.SZ,北京文化,4.12,6.26,51.94%
300620.SZ,光库科技,211.94,321.91,51.89%
688699.SH,明微电子,44.36,67.30,51.71%
000657.SZ,中钨高新,47.99,72.80,51.70%
600330.SH,天通股份,16.47,24.98,51.67%
603990.SH,麦迪科技,16.33,24.73,51.44%
300725.SZ,药石科技,36.20,54.79,51.35%
300400.SZ,劲拓股份,20.42,30.90,51.32%
688662.SH,富信科技,65.10,98.40,51.15%
688025.SH,杰普特,267.57,404.31,51.10%
002980.SZ,华盛昌,62.93,95.08,51.09%
300476.SZ,胜宏科技,189.30,286.00,51.08%
603773.SH,沃格光电,64.94,98.10,51.06%
