股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
000008.SZ,神州高铁,20251111,2.73,-8.48,-5.15,-10.3,-4.55,-13.64,-1.82,-11.82,2.73,-22.42
000012.SZ,南  玻Ａ,20260225,-2.9,-7.72,-4.63,-15.44,-12.36,-16.02,-11.2,-29.73,0.0,-29.73
000027.SZ,深圳能源,20251023,-2.66,-6.39,-4.79,-9.85,-11.05,-13.05,-6.13,-13.18,7.59,-13.18
000035.SZ,中国天楹,20250911,-3.45,-7.68,18.04,-4.22,15.74,9.6,18.81,5.18,59.31,-7.68
000037.SZ,深南电A,20250707,-1.7,-10.7,-8.62,-14.2,-10.8,-16.1,-15.81,-20.93,23.3,-21.78
000039.SZ,中集集团,20251114,4.59,-7.94,6.26,0.11,14.88,-1.01,27.63,5.48,53.13,-7.94
000061.SZ,农 产 品,20250828,10.08,-6.41,12.34,-1.9,8.3,-4.86,24.91,-1.07,25.27,-24.79
000065.SZ,北方国际,20260324,13.78,-3.31,5.41,-3.66,-2.6,-14.28,-11.95,-15.33,13.78,-15.33
000069.SZ,华侨城Ａ,20250922,-1.85,-6.67,-7.04,-10.74,8.52,-11.85,0.74,-8.89,8.52,-30.74
000090.SZ,天健集团,20251023,-6.08,-8.52,18.73,-7.3,0.73,-10.71,-7.79,-10.46,18.73,-22.63
000100.SZ,TCL科技,20260106,1.01,-5.88,3.45,-3.65,1.01,-7.51,-0.81,-16.02,3.45,-16.02
000155.SZ,川能动力,20251029,3.85,-3.28,15.16,-3.69,1.72,-7.21,15.74,-4.51,57.79,-7.21
000156.SZ,华数传媒,20260210,-7.73,-21.26,-17.09,-20.45,-18.92,-28.38,-21.87,-26.14,0.0,-29.5
000157.SZ,中联重科,20260203,6.63,-0.21,6.95,0.0,-0.32,-13.26,-6.31,-16.79,6.95,-22.89
000338.SZ,潍柴动力,20251106,1.61,-5.55,-3.66,-7.93,-0.28,-4.66,34.89,-2.5,96.01,-7.93
000400.SZ,许继电气,20260119,-1.79,-7.93,-2.35,-8.95,4.85,-13.06,-10.28,-20.8,4.85,-22.93
000402.SZ,金 融 街,20260506,-4.58,-15.19,-11.46,-17.77,,,,,0.0,-17.77
000410.SZ,沈阳机床,20251022,2.17,-1.66,12.64,1.66,-1.28,-9.2,-0.51,-9.45,12.64,-32.82
000411.SZ,英特集团,20251230,4.16,-3.48,7.18,-3.1,-5.59,-13.53,-11.79,-22.22,7.18,-22.22
000417.SZ,合百集团,20250813,-10.56,-12.88,-7.09,-12.59,9.41,-15.05,12.88,-5.5,49.78,-15.05
000503.SZ,国新健康,20260112,-4.13,-14.47,-15.76,-20.33,-17.23,-27.56,-25.84,-34.28,0.0,-41.09
000513.SZ,丽珠集团,20250716,3.37,-3.96,-0.75,-5.82,-0.14,-6.64,-5.06,-11.18,3.37,-29.36
000516.SZ,国际医学,20260113,-1.07,-10.12,-11.01,-14.03,-5.51,-20.25,-7.99,-18.29,9.95,-24.51
000523.SZ,红棉股份,20251222,-1.22,-10.24,3.41,-9.02,2.44,-8.05,-4.88,-20.24,3.41,-24.15
000530.SZ,冰山冷热,20251202,9.93,-1.48,5.23,-8.19,2.55,-8.59,-5.64,-16.78,9.93,-26.58
000531.SZ,穗恒运Ａ,20260324,6.85,-17.89,-10.66,-17.89,-4.06,-11.55,0.25,-6.73,6.85,-17.89
000534.SZ,万泽股份,20250804,-0.35,-9.42,2.25,-6.01,-0.69,-12.07,8.26,-11.9,175.27,-12.07
000537.SZ,绿发电力,20260311,8.97,-4.49,3.25,-14.6,2.46,-13.98,0.35,-11.17,10.03,-14.6
000539.SZ,粤电力Ａ,20260319,21.39,-9.08,-7.46,-13.45,23.99,-5.83,43.92,4.38,43.92,-13.45
000543.SZ,皖能电力,20251027,0.23,-5.32,-4.16,-10.29,-3.12,-9.94,1.97,-8.09,13.29,-10.29
000547.SZ,航天发展,20251114,49.84,21.04,135.18,57.92,325.08,123.7,245.38,175.03,325.08,0.0
000551.SZ,创元科技,20251223,23.15,2.69,16.11,3.63,15.97,5.22,7.4,-8.64,28.74,-8.64
000560.SZ,我爱我家,20260129,8.41,-3.6,8.71,-3.9,4.2,-14.71,-7.21,-14.11,8.71,-17.72
