股票代码,股票名称,市值(亿),T日,价格跌幅(%),成交量缩量(%),T日收盘价,T日成交量
002475.SZ,立讯精密,5275.00,20260624,24.32%,72.41%,75.05,29659400
300274.SZ,阳光电源,3263.00,20260630,36.10%,43.78%,159.02,11616000
688008.SH,澜起科技,3020.00,20260701,41.88%,43.95%,315.89,27980500
300433.SZ,蓝思科技,2004.00,20260625,38.59%,57.97%,55.72,12035100
600362.SH,江西铜业,1528.00,20260622,29.60%,45.06%,54.86,8463060
300014.SZ,亿纬锂能,1424.00,20260622,27.45%,65.71%,70.23,10290400
601872.SH,招商轮船,1411.00,20260624,36.51%,54.07%,21.91,2299660
002008.SZ,大族激光,1410.00,20260625,39.97%,71.62%,152.80,13263700
600026.SH,中远海能,1185.00,20260624,37.76%,59.99%,22.83,2856790
002709.SZ,天赐材料,1110.00,20260624,40.70%,51.34%,56.34,7029690
002202.SZ,金风科技,1074.00,20260701,31.02%,69.83%,24.66,7886730
600160.SH,巨化股份,876.00,20260701,32.14%,72.86%,55.85,6936060
002812.SZ,恩捷股份,771.00,20260622,33.60%,43.62%,72.05,3311290
301358.SZ,湖南裕能,766.00,20260624,29.91%,50.11%,84.85,3005180
300054.SZ,鼎龙股份,730.00,20260630,37.83%,59.54%,105.97,6932130
603083.SH,XD剑桥科,714.00,20260625,39.12%,47.14%,260.40,8355670
300316.SZ,晶盛机电,682.00,20260701,39.86%,73.66%,60.51,3160110
603156.SH,养元饮品,609.00,20260629,31.52%,45.13%,49.18,742603
000021.SZ,深科技,593.00,20260701,43.56%,50.01%,62.26,19585800
002428.SZ,云南锗业,592.00,20260629,45.52%,50.94%,124.00,11449300
300666.SZ,江丰电子,568.00,20260701,49.53%,50.34%,394.33,9977400
688188.SH,柏楚电子,506.00,20260617,46.98%,64.23%,170.30,808269
300037.SZ,新宙邦,488.00,20260701,39.08%,65.42%,93.55,3466290
688411.SH,海博思创,465.00,20260622,37.72%,64.12%,286.98,1754600
