股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
300369.SZ,绿盟科技,7.23,50.09,3.73,0.43,606000.00,否
301165.SZ,锐捷网络,119.40,45.10,-0.71,0.42,7910000.00,是
603228.SH,景旺电子,93.90,44.90,-2.94,0.58,7020000.00,是
300454.SZ,深信服,124.89,41.94,4.08,0.53,5360000.00,是
600428.SH,中远海特,11.47,39.93,4.46,0.35,2130000.00,否
000533.SZ,顺钠股份,11.84,39.59,1.54,0.49,946000.00,否
002229.SZ,鸿博股份,12.29,38.62,10.03,0.40,829000.00,否
300017.SZ,网宿科技,15.31,38.46,-1.03,0.47,4730000.00,是
002721.SZ,金一文化,3.06,36.89,2.34,0.38,785000.00,否
688111.SH,金山办公,241.30,34.32,1.29,0.39,11830000.00,是
301171.SZ,易点天下,35.42,33.66,0.83,0.49,2840000.00,是
300598.SZ,诚迈科技,33.59,33.46,4.87,0.57,863000.00,是
603162.SH,海通发展,12.68,31.67,6.02,0.46,1760000.00,是
603881.SH,数据港,25.13,31.48,-0.48,0.43,3070000.00,是
600693.SH,东百集团,9.56,30.51,2.25,0.48,859000.00,否
600588.SH,用友网络,10.25,30.47,0.69,0.37,4020000.00,是
600536.SH,中国软件,33.77,29.55,2.52,0.55,3840000.00,否
603171.SH,税友股份,44.34,29.07,10.00,0.44,2440000.00,是
300058.SZ,蓝色光标,13.37,28.85,-1.33,0.47,6680000.00,是
300170.SZ,汉得信息,16.64,26.47,8.76,0.48,2280000.00,否
000831.SZ,中国稀土,60.18,22.78,-1.04,0.53,5480000.00,是
000807.SZ,云铝股份,27.23,21.72,2.02,0.46,10410000.00,否
600809.SH,山西汾酒,119.03,21.68,2.27,0.40,15830000.00,否
002083.SZ,孚日股份,10.80,21.44,3.05,0.34,975000.00,否
601600.SH,中国铝业,9.82,20.65,1.76,0.42,18360000.00,否
002115.SZ,三维通信,10.63,20.16,-1.39,0.42,1130000.00,是
300364.SZ,中文在线,22.73,19.88,0.66,0.46,2070000.00,是
002366.SZ,融发核电,6.29,19.08,1.94,0.39,1570000.00,否
688561.SH,奇安信-U,27.13,19.05,7.32,0.46,2110000.00,否
300624.SZ,万兴科技,47.22,17.36,0.70,0.39,1330000.00,是
603466.SH,风语筑,11.15,15.29,0.54,0.38,664000.00,是
688002.SH,睿创微纳,161.70,15.12,0.00,0.43,6210000.00,是
