股票代码,股票名称
002475.SZ,立讯精密
300274.SZ,阳光电源
688008.SH,澜起科技
300433.SZ,蓝思科技
600362.SH,江西铜业
300014.SZ,亿纬锂能
601872.SH,招商轮船
002008.SZ,大族激光
600026.SH,中远海能
002709.SZ,天赐材料
002202.SZ,金风科技
600160.SH,巨化股份
002812.SZ,恩捷股份
301358.SZ,湖南裕能
300054.SZ,鼎龙股份
603083.SH,XD剑桥科
300316.SZ,晶盛机电
000021.SZ,深科技
002428.SZ,云南锗业
300666.SZ,江丰电子
300037.SZ,新宙邦
688411.SH,海博思创
688676.SH,金盘科技
002240.SZ,盛新锂能
002407.SZ,多氟多
000973.SZ,佛塑科技
300432.SZ,富临精工
600141.SH,兴发集团
301205.SZ,联特科技
688301.SH,奕瑞科技
002430.SZ,杭氧股份
603876.SH,鼎胜新材
600206.SH,有研新材
300814.SZ,中富电路
000519.SZ,中兵红箭
601975.SH,招商南油
300747.SZ,锐科激光
603026.SH,石大胜华
002176.SZ,江特电机
603005.SH,晶方科技
605111.SH,新洁能
301362.SZ,民爆光电
002326.SZ,永太科技
301183.SZ,东田微
300769.SZ,德方纳米
002957.SZ,科瑞技术
605198.SH,安德利
688352.SH,颀中科技
600338.SH,西藏珠峰
603505.SH,金石资源
688275.SH,万润新能
300184.SZ,力源信息
300593.SZ,新雷能
301292.SZ,海科新源
300201.SZ,海伦哲
300975.SZ,商络电子
600184.SH,光电股份
300480.SZ,光力科技
688677.SH,海泰新光
688401.SH,路维光电
301021.SZ,英诺激光
002549.SZ,凯美特气
603936.SH,博敏电子
600063.SH,皖维高新
301421.SZ,波长光电
300265.SZ,通光线缆
688261.SH,东微半导
