股票代码,股票名称,市值(亿),3浪模式,近期点日期,近期点收盘价,中间点日期,中间点收盘价,远期点日期,远期点收盘价,间隔1,间隔2
300274.SZ,阳光电源,3263.00,波谷-波峰-波谷,20260611,146.75,20260528,190.09,20260428,129.89,10,19
002709.SZ,天赐材料,1110.00,波谷-波峰-波谷,20260610,46.90,20260507,62.80,20260407,43.70,24,19
002156.SZ,通富微电,893.00,波峰-波谷-波峰,20260513,60.86,20260403,40.42,20260305,48.84,24,21
600160.SH,巨化股份,876.00,波谷-波峰-波谷,20260720,37.90,20260701,55.85,20260519,32.46,12,30
688099.SH,晶晨股份,515.00,波峰-波谷-波峰,20260520,119.18,20260403,75.76,20260316,92.71,29,14
300763.SZ,锦浪科技,430.00,波谷-波峰-波谷,20260615,87.20,20260528,120.40,20260427,83.60,12,20
688796.SH,百奥赛图,424.00,波峰-波谷-波峰,20260702,114.00,20260617,88.27,20260527,112.54,10,15
688630.SH,芯碁微装,368.00,波谷-波峰-波谷,20260720,344.00,20260630,549.39,20260520,291.39,13,28
600909.SH,华安证券,315.00,波谷-波峰-波谷,20260720,8.08,20260701,12.22,20260611,7.27,12,13
603876.SH,鼎胜新材,271.00,波谷-波峰-波谷,20260527,27.49,20260507,31.32,20260323,19.72,14,29
600206.SH,有研新材,259.00,波谷-波峰-波谷,20260720,35.87,20260630,66.60,20260608,27.75,13,15
001337.SZ,四川黄金,238.00,波谷-波峰-波谷,20260428,47.26,20260410,49.46,20260326,45.24,12,10
603026.SH,石大胜华,226.00,波谷-波峰-波谷,20260609,81.02,20260506,120.40,20260409,77.42,24,16
002176.SZ,江特电机,218.00,波谷-波峰-波谷,20260608,10.63,20260506,15.70,20260323,8.83,23,28
301292.SZ,海科新源,168.00,波峰-波谷-波峰,20260625,89.77,20260610,63.07,20260511,85.09,10,22
300201.SZ,海伦哲,166.00,波峰-波谷-波峰,20260630,21.07,20260611,17.29,20260528,20.56,12,10
688353.SH,华盛锂电,157.00,波谷-波峰-波谷,20260717,88.50,20260623,120.20,20260608,79.75,17,10
301382.SZ,蜂助手,143.00,波峰-波谷-波峰,20260422,43.66,20260403,31.51,20260318,38.65,12,12
601678.SH,滨化股份,127.00,波峰-波谷-波峰,20260702,7.70,20260609,5.14,20260520,6.41,16,14
600158.SH,中体产业,114.00,波峰-波谷-波峰,20260515,14.58,20260428,10.20,20260408,11.90,10,14
300740.SZ,水羊股份,104.00,波谷-波峰-波谷,20260615,22.03,20260513,27.10,20260409,21.14,23,21
603399.SH,永杉锂业,94.50,波谷-波峰-波谷,20260527,16.88,20260511,24.56,20260320,9.97,12,32
301127.SZ,武汉天源,88.20,波谷-波峰-波谷,20260717,15.26,20260701,20.83,20260612,12.25,11,12
600722.SH,金牛化工,82.20,波谷-波峰-波谷,20260407,14.52,20260317,19.30,20260227,9.38,14,12
