股票代码,股票名称,行业,总市值(亿)
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
300408.SZ,三环集团,被动元件,1850.00
002484.SZ,江海股份,被动元件,499.00
000636.SZ,风华高科,被动元件,375.00
600563.SH,法拉电子,被动元件,332.00
002138.SZ,顺络电子,被动元件,321.00
688498.SH,源杰科技,分立器件,1330.00
688172.SH,燕东微,分立器件,761.00
688048.SH,长光华芯,分立器件,708.00
600460.SH,士兰微,分立器件,538.00
300373.SZ,扬杰科技,分立器件,433.00
688808.SH,联讯仪器,通用设备,1437.00
301377.SZ,鼎泰高科,通用设备,1020.00
000039.SZ,中集集团,通用设备,628.00
300567.SZ,精测电子,通用设备,525.00
002131.SZ,利欧股份,通用设备,501.00
000988.SZ,华工科技,自动化设备,1593.00
002008.SZ,大族激光,自动化设备,1410.00
688025.SH,杰普特,自动化设备,386.00
300747.SZ,锐科激光,自动化设备,227.00
688559.SH,海目星,自动化设备,163.00
688808.SH,联讯仪器,通用设备,1437.00
301377.SZ,鼎泰高科,通用设备,1020.00
000039.SZ,中集集团,通用设备,628.00
300567.SZ,精测电子,通用设备,525.00
002131.SZ,利欧股份,通用设备,501.00
300054.SZ,鼎龙股份,电子化学品Ⅱ,730.00
688019.SH,安集科技,电子化学品Ⅱ,532.00
688548.SH,广钢气体,电子化学品Ⅱ,459.00
300285.SZ,国瓷材料,电子化学品Ⅱ,438.00
300346.SZ,南大光电,电子化学品Ⅱ,400.00
002475.SZ,立讯精密,消费电子,5275.00
300433.SZ,蓝思科技,消费电子,2004.00
300857.SZ,协创数据,消费电子,1311.00
002600.SZ,领益智造,消费电子,1236.00
603296.SH,华勤技术,消费电子,1170.00
688808.SH,联讯仪器,通用设备,1437.00
301377.SZ,鼎泰高科,通用设备,1020.00
000039.SZ,中集集团,通用设备,628.00
300567.SZ,精测电子,通用设备,525.00
002131.SZ,利欧股份,通用设备,501.00
688981.SH,中芯国际,半导体,9521.00
688820.SH,盛合晶微,半导体,3403.00
688347.SH,华虹公司,半导体,2602.00
688783.SH,西安奕材-U,半导体,1437.00
600584.SH,长电科技,半导体,1088.00
002353.SZ,杰瑞股份,专用设备,1421.00
301200.SZ,大族数控,专用设备,1068.00
002837.SZ,英维克,专用设备,1001.00
002595.SZ,豪迈科技,专用设备,661.00
688630.SH,芯碁微装,专用设备,368.00
688981.SH,中芯国际,半导体,9521.00
688820.SH,盛合晶微,半导体,3403.00
688347.SH,华虹公司,半导体,2602.00
688783.SH,西安奕材-U,半导体,1437.00
600584.SH,长电科技,半导体,1088.00
600827.SH,百联股份,多业态零售,149.00
600729.SH,重百集团,多业态零售,86.00
000417.SZ,合百集团,多业态零售,67.50
600694.SH,大商股份,多业态零售,61.10
600824.SH,益民集团,多业态零售,42.00
688808.SH,联讯仪器,通用设备,1437.00
301377.SZ,鼎泰高科,通用设备,1020.00
000039.SZ,中集集团,通用设备,628.00
300567.SZ,精测电子,通用设备,525.00
002131.SZ,利欧股份,通用设备,501.00
600585.SH,海螺水泥,建筑材料,1059.00
000786.SZ,北新建材,建筑材料,421.00
600801.SH,华新建材,建筑材料,394.00
002271.SZ,东方雨虹,建筑材料,341.00
000877.SZ,天山股份,建筑材料,321.00
300274.SZ,阳光电源,电力设备,3263.00
600406.SH,国电南瑞,电力设备,2166.00
002028.SZ,思源电气,电力设备,1526.00
605117.SH,德业股份,电力设备,1433.00
300014.SZ,亿纬锂能,电力设备,1424.00
688808.SH,联讯仪器,通用设备,1437.00
301377.SZ,鼎泰高科,通用设备,1020.00
000039.SZ,中集集团,通用设备,628.00
300567.SZ,精测电子,通用设备,525.00
002131.SZ,利欧股份,通用设备,501.00
301638.SZ,南网数字,IT服务Ⅲ,973.00
000938.SZ,紫光股份,IT服务Ⅲ,929.00
600845.SH,宝信软件,IT服务Ⅲ,695.00
002195.SZ,岩山科技,IT服务Ⅲ,492.00
300017.SZ,网宿科技,IT服务Ⅲ,473.00
000538.SZ,云南白药,中药Ⅱ,908.00
600436.SH,片仔癀,中药Ⅱ,775.00
