board_code,board_name
BK0420,航空机场
BK0421,铁路公路
BK0422,物流
BK0425,工程建设
BK0427,公用事业
BK0428,电力
BK0429,交运设备
BK0433,农林牧渔
BK0436,纺织服饰
BK0437,煤炭
BK0438,食品饮料
BK0440,家居用品
BK0447,互联网服务
BK0448,通信设备
BK0450,航运港口
BK0451,房地产开发
BK0454,塑料
BK0456,家用电器
BK0457,电网设备
BK0458,仪器仪表
BK0459,元件
BK0464,石油石化
BK0465,化学制药
BK0470,造纸印刷
BK0471,化学纤维
BK0473,证券Ⅱ
BK0474,保险Ⅱ
BK0475,银行Ⅱ
BK0476,装修建材
BK0477,酿酒概念
BK0478,有色金属
BK0479,钢铁
BK0480,航天航空
BK0481,汽车零部件
BK0482,一般零售
BK0484,贸易Ⅱ
BK0486,传媒
BK0490,军工
BK0492,煤化工概念
BK0493,新能源
BK0494,节能环保
BK0505,中字头
BK0509,网络游戏
BK0512,化工原料
BK0514,参股券商
BK0519,稀缺资源
BK0523,新材料
BK0536,基金重仓
BK0538,化学制品
BK0545,通用设备
BK0546,玻璃玻纤
BK0547,黄金概念
BK0548,生物疫苗
BK0552,机构重仓
BK0554,物联网
BK0556,移动支付
BK0574,锂电池概念
BK0577,核能核电
BK0578,稀土永磁
BK0579,云计算
BK0580,LED概念
BK0581,智能电网
BK0588,光伏概念
BK0592,铁路基建
BK0595,风能
BK0597,水利建设
BK0601,海工装备
BK0603,页岩气
BK0606,油气设服
BK0614,食品安全
BK0615,中药概念
BK0617,石墨烯
BK0619,3D打印
BK0622,地热能
BK0623,海洋经济
BK0625,通用航空
BK0628,智慧城市
BK0629,卫星导航
BK0634,大数据
BK0637,互联网金融
BK0641,智能穿戴
BK0644,特斯拉概念
BK0653,养老概念
BK0655,网络安全
BK0656,智能电视
BK0662,在线教育
BK0664,婴童概念
BK0665,电商概念
BK0666,苹果概念
BK0667,安防概念
BK0668,医疗器械概念
BK0669,生态农业
BK0675,病毒防治
BK0676,独家药品
BK0679,超导概念
BK0680,智能家居
BK0682,燃料电池概念
BK0689,阿里概念
BK0690,氟化工概念
BK0692,旅游概念
BK0693,基因测序
BK0695,小金属概念
BK0696,国产软件
BK0697,IPO受益
BK0698,免疫治疗
BK0699,全息技术
BK0700,充电桩
BK0703,超级电容
BK0704,无人机
BK0706,脑机接口
BK0708,体育产业
BK0710,量子科技
BK0711,券商概念
BK0714,5G概念
BK0715,航母概念
BK0722,虚拟现实
BK0724,海绵城市
BK0725,装修装饰Ⅱ
BK0726,工程咨询服务Ⅱ
BK0727,医疗服务
BK0728,环保
BK0729,船舶制造
BK0730,农药兽药
BK0731,农化制品
BK0732,贵金属
BK0733,包装材料
BK0734,饰品
BK0735,计算机设备
BK0736,通信服务
BK0737,软件开发
BK0738,多元金融
BK0739,工程机械
BK0740,教育
BK0800,人工智能
BK0801,增强现实
BK0802,智能驾驶
BK0805,钛白粉概念
BK0806,精准医疗
BK0808,军民融合
BK0809,AI智能体
BK0812,贬值受益
BK0814,大飞机
BK0815,昨日涨停
BK0818,可燃冰
BK0825,新零售
BK0830,区块链
BK0832,工业互联网
BK0833,小米概念
BK0834,乡村振兴
BK0835,独角兽
BK0837,互联网医疗
BK0840,OLED
BK0841,体外诊断概念
BK0843,天然气
BK0845,百度概念
BK0847,影视概念
BK0852,冷链物流
BK0853,电子竞技
BK0854,华为概念
BK0855,纳米银
BK0856,工业大麻
BK0859,超清视频
BK0860,边缘计算
BK0861,数字孪生
BK0864,氢能源
BK0865,电子烟
BK0866,人造肉
BK0868,GDR
BK0870,单抗概念
BK0872,青蒿素
BK0873,垃圾分类
BK0875,ETC
BK0877,PCB
BK0879,标准普尔
BK0880,UWB概念
BK0881,3D玻璃
BK0882,猪肉概念
BK0883,数字货币
BK0884,光刻机
BK0885,VPN
BK0886,智慧政务
BK0887,鸡肉概念
BK0888,农业种植
BK0889,医美概念
BK0890,MLCC
BK0891,国产芯片
BK0892,乳业
BK0893,无线耳机
BK0894,阿兹海默
BK0895,维生素
BK0896,白酒
BK0897,IPv6
BK0898,胎压监测
BK0899,CRO
BK0900,新能源车
BK0901,3D摄像头
BK0902,MiniLED
BK0905,传感器
BK0906,流感
BK0907,转基因
BK0908,HJT电池
