股票代码,股票名称,收盘价,第一波涨幅(%),今日涨幅(%),调整量/上涨量,市值(亿),是否波谷
000048.SZ,京基智农,20.22,71.09,10.01,0.46,769000.00,否
688072.SH,拓荆科技,764.46,67.65,20.00,0.45,15690000.00,否
000100.SZ,TCL科技,5.35,37.84,7.65,0.50,8940000.00,否
601066.SH,中信建投,26.65,34.74,-0.04,0.41,17280000.00,是
601211.SH,国泰海通,18.82,30.69,-1.10,0.48,27270000.00,是
000776.SZ,广发证券,22.86,30.50,0.62,0.54,15270000.00,是
000783.SZ,长江证券,8.60,28.07,2.14,0.42,4650000.00,是
002979.SZ,雷赛智能,56.56,19.92,6.74,0.47,2090000.00,否
000921.SZ,海信家电,26.17,17.43,2.95,0.51,3390000.00,是
601688.SH,华泰证券,20.63,17.42,0.78,0.38,16880000.00,是
