股票代码,股票名称,涨幅
688020.SH,方邦股份,20.00%
300489.SZ,光智科技,18.81%
301093.SZ,华兰股份,18.00%
688813.SH,泰金新能,17.69%
688131.SH,皓元医药,17.58%
301217.SZ,铜冠铜箔,16.98%
688519.SH,南亚新材,16.53%
301511.SZ,德福科技,16.21%
688195.SH,腾景科技,16.14%
300672.SZ,国科微,14.82%
300558.SZ,贝达药业,14.37%
300759.SZ,康龙化成,14.34%
301326.SZ,捷邦科技,14.23%
688796.SH,百奥赛图,13.64%
300814.SZ,中富电路,13.34%
688150.SH,莱特光电,13.31%
300903.SZ,科翔股份,12.45%
688508.SH,芯朋微,12.25%
300476.SZ,胜宏科技,12.01%
301571.SZ,国科天成,11.68%
301392.SZ,汇成真空,11.64%
688331.SH,荣昌生物,11.61%
688300.SH,联瑞新材,11.48%
301626.SZ,苏州天脉,11.46%
688765.SH,禾元生物-U,11.41%
688235.SH,百济神州,11.28%
688603.SH,天承科技,11.00%
688625.SH,呈和科技,10.48%
301319.SZ,唯特偶,10.46%
688690.SH,纳微科技,10.24%
600744.SH,华银电力,10.06%
603328.SH,依顿电子,10.04%
601865.SH,福莱特,10.02%
603936.SH,博敏电子,10.01%
000506.SZ,招金黄金,10.01%
601208.SH,东材科技,10.01%
000739.SZ,普洛药业,10.01%
603127.SH,昭衍新药,10.01%
002552.SZ,宝鼎科技,10.01%
002913.SZ,奥士康,10.00%
600183.SH,生益科技,10.00%
002943.SZ,宇晶股份,10.00%
688102.SH,斯瑞新材,10.00%
600206.SH,有研新材,10.00%
002428.SZ,云南锗业,10.00%
603459.SH,红板科技,10.00%
000831.SZ,中国稀土,10.00%
603124.SH,江南新材,10.00%
605289.SH,罗曼股份,10.00%
002281.SZ,光迅科技,10.00%
603757.SH,大元泵业,10.00%
600601.SH,方正科技,10.00%
603186.SH,华正新材,10.00%
002821.SZ,凯莱英,10.00%
000603.SZ,盛达资源,10.00%
603228.SH,景旺电子,10.00%
001267.SZ,汇绿生态,10.00%
002792.SZ,通宇通讯,10.00%
603773.SH,沃格光电,10.00%
002741.SZ,光华科技,10.00%
603011.SH,合锻智能,9.99%
600110.SH,诺德股份,9.99%
600641.SH,先导基电,9.99%
600267.SH,海正药业,9.98%
600500.SH,中化国际,9.98%
688336.SH,三生国健,9.98%
600651.SH,飞乐音响,9.97%
688222.SH,成都先导,9.81%
688065.SH,凯赛生物,9.80%
002080.SZ,中材科技,9.78%
688183.SH,生益电子,9.78%
688321.SH,微芯生物,9.74%
688333.SH,铂力特,9.74%
688352.SH,颀中科技,9.51%
300347.SZ,泰格医药,9.51%
688166.SH,博瑞医药,9.50%
