股票代码,股票名称,涨幅(%)
300103.SZ,达刚控股,21.05
300849.SZ,锦盛新材,20.40
301107.SZ,瑜欣电子,19.98
688229.SH,博睿数据,18.44
600539.SH,狮头股份,18.27
688365.SH,光云科技,17.79
301236.SZ,软通动力,16.04
301234.SZ,五洲医疗,14.86
301329.SZ,信音电子,14.84
301395.SZ,仁信新材,14.70
300792.SZ,壹网壹创,14.57
002613.SZ,北玻股份,14.00
301218.SZ,华是科技,13.93
603678.SH,火炬电子,13.91
002421.SZ,达实智能,13.87
688435.SH,英方软件,13.72
688107.SH,安路科技,12.95
300897.SZ,山科智能,12.77
300483.SZ,首华燃气,12.72
002951.SZ,金时科技,12.70
301439.SZ,泓淋电力,12.62
300420.SZ,五洋自控,12.47
300378.SZ,鼎捷数智,12.47
605566.SH,福莱蒽特,12.31
300339.SZ,润和软件,11.83
301228.SZ,实朴检测,11.82
600463.SH,空港股份,11.63
000636.SZ,风华高科,11.45
688031.SH,星环科技-U,11.34
603778.SH,国晟科技,11.24
002062.SZ,宏润建设,11.17
300967.SZ,晓鸣股份,11.15
603598.SH,引力传媒,11.08
600540.SH,新赛股份,11.01
300649.SZ,杭州园林,10.97
603344.SH,星德胜,10.96
002766.SZ,索菱股份,10.85
301270.SZ,汉仪股份,10.82
600617.SH,国新能源,10.78
000031.SZ,大悦城,10.73
002068.SZ,黑猫股份,10.57
301189.SZ,奥尼电子,10.53
600981.SH,苏豪汇鸿,10.53
603138.SH,海量数据,10.45
603823.SH,百合花,10.42
000055.SZ,方大集团,10.40
002552.SZ,宝鼎科技,10.40
601101.SH,昊华能源,10.36
002700.SZ,万憬能源,10.33
301092.SZ,争光股份,10.22
002830.SZ,名雕股份,10.16
002404.SZ,嘉欣丝绸,10.13
600798.SH,宁波海运,10.12
603193.SH,润本股份,10.09
600727.SH,鲁北化工,10.07
600121.SH,郑州煤电,10.07
605298.SH,必得科技,10.06
600847.SH,万里股份,10.05
600758.SH,辽宁能源,10.02
600546.SH,山煤国际,10.01
003030.SZ,祖名股份,10.00
002657.SZ,中科金财,10.00
605398.SH,新炬网络,10.00
002181.SZ,粤 传 媒,9.99
002933.SZ,新兴装备,9.99
603039.SH,泛微网络,9.99
002995.SZ,天地在线,9.99
002925.SZ,盈趣科技,9.97
688692.SH,达梦数据,9.96
002099.SZ,海翔药业,9.96
603161.SH,科华控股,9.94
688352.SH,颀中科技,9.91
600403.SH,大有能源,9.90
002580.SZ,圣阳股份,9.88
603819.SH,神力股份,9.87
600188.SH,兖矿能源,9.86
000727.SZ,冠捷科技,9.85
603330.SH,天洋新材,9.81
600503.SH,华丽家族,9.81
600596.SH,新安股份,9.79
601918.SH,新集能源,9.76
000510.SZ,新金路,9.73
603808.SH,歌力思,9.70
601001.SH,晋控煤业,9.69
002795.SZ,永和智控,9.69
603045.SH,福达合金,9.65
300826.SZ,测绘股份,9.64
001210.SZ,金房能源,9.55
300071.SZ,福石控股,9.55
600665.SH,天地源,9.54
600841.SH,动力新科,9.50
603605.SH,珀莱雅,9.43
002637.SZ,赞宇科技,9.40
603991.SH,至正股份,9.38
002955.SZ,鸿合科技,9.37
300668.SZ,杰恩股份,9.37
603877.SH,太平鸟,9.29
688707.SH,振华新材,9.27
002474.SZ,榕基软件,9.23
688039.SH,当虹科技,9.21
002629.SZ,仁智股份,9.21
000722.SZ,湖南发展,9.20
603533.SH,掌阅科技,9.15
300638.SZ,广和通,9.13
002871.SZ,伟隆股份,9.10
001225.SZ,和泰机电,9.08
002279.SZ,久其软件,9.02
