证券类别,数量,成交金额,总市值,流通市值,总市值（亿元）,流通市值（亿元）,成交金额（亿元）
股票,2931,1772144037093.11,49555596706218.6,42388011549706.89,495555.97,423880.12,17721.44
主板A股,1494,917221723737.88,27282626096333.16,24351525859056.95,272826.26,243515.26,9172.22
主板B股,38,91338103.58,37641202101.27,37624860572.0,376.41,376.25,0.91
创业板A股,1399,854830975251.65,22235329407784.17,17998860830077.94,222353.29,179988.61,8548.31
基金,997,163209862682.23,1660113085940.84,1636972368851.35,16601.13,16369.72,1632.1
ETF,685,160976297179.02,1550341819056.26,1550341819056.26,15503.42,15503.42,1609.76
LOF,285,1899992490.13,44890393330.85,44890393330.85,448.9,448.9,19.0
封闭式基金,0,0.0,0.0,0.0,0.0,0.0,0.0
不动产基金,27,333573013.08,64880873553.71,41740156464.23,648.81,417.4,3.34
债券,18417,370937614800.41,,,,,3709.38
债券现券,17578,65373174503.77,103628509865356.95,3617801985873.13,1036285.1,36178.02,653.73
债券回购,27,304012851968.38,,,,,3040.13
ABS,812,1551588328.25,525277968292.82,525277968292.82,5252.78,5252.78,15.52
期权,574,2449505087.81,,,,,24.5
