股票代码,股票名称,总市值,阳线成交额/阴线成交额,最低/最高收盘价,MA5斜率
605499.SH,东鹏饮料,1069.00亿,2.25,84.79%,0.4436
000596.SZ,古井贡酒,507.00亿,2.28,77.91%,1.7071
600536.SH,中国软件,384.00亿,2.02,77.31%,0.5344
300896.SZ,爱美客,325.00亿,2.04,78.58%,1.6936
600012.SH,皖通高速,272.00亿,2.56,83.92%,0.1293
601606.SH,长城军工,270.00亿,2.51,78.66%,0.1067
002180.SZ,奔图科技,257.00亿,2.19,85.39%,0.0551
600095.SH,湘财股份,255.00亿,2.86,78.71%,0.1613
600521.SH,华海药业,246.00亿,2.89,79.47%,0.0153
603233.SH,大参林,203.00亿,4.43,75.20%,0.1191
300139.SZ,晓程科技,136.00亿,2.51,75.71%,0.0016
600267.SH,海正药业,131.00亿,2.38,79.57%,0.1540
002541.SZ,鸿路钢构,129.00亿,2.66,77.03%,0.2273
301087.SZ,可孚医疗,115.00亿,2.99,80.89%,0.3662
600929.SH,雪天盐业,101.00亿,2.05,77.87%,0.0736
301357.SZ,北方长龙,98.40亿,2.36,76.69%,0.2567
603123.SH,翠微股份,89.90亿,2.31,85.27%,0.0820
688046.SH,药康生物,84.70亿,2.01,77.66%,0.2007
301381.SZ,赛维时代,83.60亿,2.33,80.82%,0.2744
600698.SH,湖南天雁,80.50亿,2.85,81.58%,0.0267
002218.SZ,拓日新能,78.70亿,2.45,81.67%,0.0093
000989.SZ,九芝堂,74.20亿,4.55,75.88%,0.0698
600557.SH,康缘药业,72.10亿,2.14,79.75%,0.0373
603367.SH,辰欣药业,67.10亿,2.27,79.15%,0.0858
000948.SZ,南天信息,58.50亿,3.34,77.38%,0.1627
688389.SH,普门科技,53.70亿,2.07,83.98%,0.0033
002860.SZ,星帅尔,50.50亿,2.11,78.25%,0.0373
