序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'688182,灿勤科技,43.84,20.01%,7.31,12.5万手,84手,43.84,--,0.00%,3.13%,5.42亿,2685.55 ①,通信设备,43.84,39.2,39.2,36.53,12.70%,1.22,100.00%,2.38万手,43.34,9.39万手,3.12万手,3.01,2.20万手,0手,7.76,4.00亿,175亿元,4.00亿,175亿元,20.11%,23.32%,7.48%,15.91%
2,'688360,德马科技,24.18,20.00%,4.03,36.0万手,1336手,24.18,--,0.00%,14.26%,8.25亿,43.02 ①,其他通用设备,24.18,21.02,21.05,20.15,15.68%,7.27,100.00%,6.04万手,22.95,15.3万手,20.7万手,0.74,5.93万手,0手,4.28,2.64亿,63.8亿元,2.52亿,61.0亿元,26.00%,20.42%,19.87%,24.06%
3,'688419,耐科装备,55.14,20.00%,9.19,8.07万手,99手,55.14,--,0.00%,7.04%,4.07亿,110.26 ①,半导体设备,55.14,44.92,45.51,45.95,22.24%,1.96,100.00%,1.37万手,50.49,3.74万手,4.33万手,0.86,1.32万手,0手,6,1.15亿,63.2亿元,1.15亿,63.2亿元,23.77%,16.55%,14.33%,25.02%
4,'688126,沪硅产业,29.52,20.00%,4.92,261万手,1.27万手,29.52,--,0.00%,9.54%,70.2亿,亏损 ①,半导体,29.52,23.96,24.41,24.6,22.60%,1.77,100.00%,11.0万手,26.94,116万手,144万手,0.81,10.9万手,0手,5.8,33.1亿,976亿元,27.3亿,806亿元,18.22%,22.03%,19.90%,36.47%
5,'688610,埃科光电,164.71,20.00%,27.45,3.92万手,41手,164.71,--,0.00%,9.57%,6.02亿,120.67 ①,通用设备,164.71,134.78,136,137.26,21.81%,1.83,100.00%,2283手,153.75,1.75万手,2.16万手,0.81,2222手,0手,7.21,6800万,112亿元,4093万,67.4亿元,25.25%,18.24%,19.63%,35.73%
6,'688260,昀冢科技,59.11,20.00%,9.85,12.2万手,108手,59.11,--,0.00%,10.13%,6.75亿,亏损 ①,消费电子,59.11,49.26,49.69,49.26,20.00%,1.21,100.00%,1.60万手,55.55,5.45万手,6.71万手,0.81,1.57万手,0手,43.92,1.20亿,70.9亿元,1.20亿,70.9亿元,16.45%,16.61%,25.35%,51.91%
7,'688507,索辰科技,152.3,18.04%,23.28,19.3万手,1413手,152.28,152.3,-0.46%,39.15%,27.7亿,亏损 ①,软件开发,154.82,135,141.3,129.02,15.36%,4.4,-46.43%,-71手,143.88,8.89万手,10.4万手,0.86,22手,43手,4.91,8911万,136亿元,4924万,75.0亿元,63.89%,55.65%,72.14%,83.65%
8,'688521,芯原股份,299.91,15.57%,40.41,40.6万手,3342手,299.91,299.92,0.07%,7.71%,113亿,亏损 ①,数字芯片设计,301,252.78,257.37,259.5,18.58%,1.53,4.18%,7手,278.86,15.3万手,25.2万手,0.61,7手,4手,50.12,5.26亿,1577亿元,5.26亿,1577亿元,12.79%,12.16%,16.52%,32.91%
9,'688292,浩瀚深度,27.74,12.99%,3.19,16.8万手,1145手,27.74,27.75,0.11%,10.63%,4.55亿,亏损 ①,计算机,28.3,24.58,24.58,24.55,15.15%,4.6,83.50%,686手,27.04,7.57万手,9.27万手,0.82,12手,1手,4.51,1.58亿,43.9亿元,1.58亿,43.9亿元,19.06%,12.58%,15.79%,22.18%
10,'688691,灿芯股份,122.14,12.99%,14.04,15.7万手,1383手,122.13,122.14,0.00%,21.55%,18.2亿,亏损 ①,半导体,122.85,106.88,109.92,108.1,14.77%,1.7,-38.01%,-231手,115.77,6.02万手,9.70万手,0.62,150手,260手,12.15,1.20亿,147亿元,7297万,89.1亿元,4.87%,-1.35%,48.05%,85.06%
