序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'920718,合肥高科,16.08,17.29%,2.37,10.7万手,797手,16.08,16.09,0.63%,24.83%,1.65亿,271.75 ①,家用电器,17.1,13.2,13.71,13.71,28.45%,7.11,31.90%,233手,15.38,5.25万手,5.46万手,0.96,33手,33手,2.5,9067万,14.6亿元,4311万,6.93亿元,29.68%,23.12%,39.25%,42.30%
2,'920475,三友科技,16.45,16.17%,2.29,5.54万手,1238手,16.45,16.46,0.18%,9.85%,9006万,119.61 ①,专用设备,17.51,14.3,14.3,14.16,22.67%,3.71,44.25%,267手,16.27,2.72万手,2.81万手,0.97,80手,44手,4.71,1.01亿,16.6亿元,5620万,9.24亿元,11.90%,12.67%,14.70%,23.14%
3,'920690,捷众科技,29.78,13.79%,3.61,4.90万手,564手,29.77,29.78,0.00%,11.37%,1.45亿,34.33 ①,车身附件及饰件,31.14,26.2,26.7,26.17,18.88%,4.36,-11.29%,-59手,29.5,2.31万手,2.59万手,0.89,54手,240手,3.2,6630万,19.7亿元,4310万,12.8亿元,13.40%,7.59%,18.16%,24.42%
4,'920402,硅烷科技,10.73,12.00%,1.15,16.1万手,4256手,10.73,10.74,0.09%,5.91%,1.67亿,亏损 ①,化学制品,11.18,9.44,9.53,9.58,18.16%,1.71,33.21%,985手,10.35,7.15万手,8.97万手,0.8,373手,10手,3,4.22亿,45.3亿元,2.73亿,29.3亿元,8.38%,12.71%,12.77%,23.14%
5,'920199,倍益康,35.88,11.43%,3.68,4.37万手,438手,35.88,35.89,-0.06%,11.52%,1.58亿,1118.66 ①,个护小家电,37.36,33.99,33.99,32.2,10.47%,5.07,9.63%,34手,36.22,2.15万手,2.22万手,0.97,145手,90手,4.64,6811万,24.4亿元,3793万,13.6亿元,10.88%,4.91%,15.42%,22.89%
6,'920699,海达尔,73,10.06%,6.67,3.71万手,1077手,72.99,73,0.00%,17.78%,2.74亿,82.49 ①,家用电器,85.66,62.89,65.67,66.33,34.33%,1.51,-78.06%,-180手,73.92,1.81万手,1.90万手,0.95,2手,163手,9.47,4563万,33.3亿元,2088万,15.2亿元,17.93%,28.98%,36.22%,76.53%
7,'920974,凯大催化,8.14,10.00%,0.74,7.75万手,1224手,8.13,8.14,-0.25%,6.03%,6102万,25.40 ①,化学制品,8.17,7.39,7.43,7.4,10.54%,3.12,-64.35%,-2359手,7.87,3.18万手,4.57万手,0.7,148手,346手,2.05,1.64亿,13.3亿元,1.28亿,10.5亿元,5.85%,2.01%,9.61%,15.72%
8,'920178,锐翔智能,248,9.65%,21.82,8.13万手,585手,247.92,248,-0.74%,55.62%,19.4亿,125.14 ④,其他自动化设备,269.9,217.02,233,226.18,23.38%,0.81,-94.09%,-249手,238.38,4.17万手,3.96万手,1.05,2手,214手,22.48,6594万,164亿元,1461万,36.2亿元,741.53%,741.53%,192.89%,192.89%
9,'920179,凯德石英,59.33,8.76%,4.78,7.72万手,294手,59.32,59.33,0.00%,12.93%,4.36亿,229.84 ①,半导体,60.58,51.98,53.74,54.55,15.77%,1.25,-32.96%,-224手,56.43,3.37万手,4.35万手,0.77,90手,434手,5.88,7497万,44.5亿元,5972万,35.4亿元,6.90%,10.12%,28.97%,64.61%
10,'920128,胜业电气,26,7.84%,1.89,2.00万手,484手,25.99,26,0.04%,8.22%,5103万,299.86 ①,被动元件,26.25,23.94,24.14,24.11,9.58%,3.91,22.25%,189手,25.53,8874手,1.11万手,0.8,222手,223手,4.11,8119万,21.1亿元,2430万,6.32亿元,6.43%,5.39%,11.57%,18.74%
