序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1,'300608,思特奇,18.46,20.03%,3.08,57.8万手,592手,18.46,--,0.00%,19.60%,9.85亿,亏损 ①,软件开发,18.46,15.29,15.29,15.38,20.61%,1.3,100.00%,2.16万手,17.06,34.9万手,22.8万手,1.53,2.04万手,0手,4.84,3.38亿,62.5亿元,2.95亿,54.4亿元,20.97%,36.94%,58.43%,95.14%
2,'300657,弘信电子,52.08,20.00%,8.68,85.4万手,4552手,52.08,--,0.00%,18.23%,42.8亿,165.55 ①,印制电路板,52.08,48.01,48.01,43.4,9.38%,2.08,100.00%,7.55万手,50.16,42.5万手,42.9万手,0.99,7.21万手,0手,17.67,4.82亿,251亿元,4.69亿,244亿元,37.92%,34.75%,32.94%,62.01%
3,'300285,国瓷材料,43.89,12.83%,4.99,95.8万手,9437手,43.88,43.89,-0.05%,11.22%,40.4亿,76.90 ①,电子化学品Ⅱ,44,38.72,38.83,38.9,13.57%,1.44,-61.38%,-1579手,42.22,41.4万手,54.4万手,0.76,218手,506手,6.07,9.97亿,438亿元,8.54亿,375亿元,6.74%,13.38%,24.36%,50.16%
4,'301313,凡拓数创,50.94,10.69%,4.92,23.3万手,1318手,50.93,50.94,0.00%,29.69%,11.3亿,亏损 ①,其他数字媒体,54,45.5,47.53,46.02,18.47%,3.67,-50.66%,-191手,48.57,12.2万手,11.1万手,1.1,21手,195手,8.17,1.03亿,52.7亿元,7855万,40.0亿元,35.62%,34.30%,53.18%,70.12%
5,'002281,光迅科技,230.89,10.00%,20.99,83.6万手,1521手,230.89,--,0.00%,10.72%,180亿,194.07 ①,通信设备,230.89,203.01,209.5,209.9,13.28%,1.03,100.00%,1.65万手,215.51,39.2万手,44.4万手,0.88,1.63万手,0手,18.01,8.07亿,1863亿元,7.79亿,1800亿元,13.29%,16.15%,31.03%,62.79%
6,'300611,美力科技,27.67,9.41%,2.38,15.1万手,1991手,27.67,27.68,0.00%,10.17%,4.10亿,84.30 ①,底盘与发动机系统,28.3,25.32,25.32,25.29,11.78%,2.95,10.13%,162手,27.15,6.36万手,8.73万手,0.73,392手,197手,4.54,2.11亿,58.4亿元,1.48亿,41.0亿元,10.33%,9.19%,17.76%,27.40%
7,'300260,新莱应材,67.11,8.43%,5.22,39.6万手,3586手,67.1,67.11,0.06%,13.78%,26.0亿,129.47 ①,通用设备,68.8,61.27,61.5,61.89,12.17%,0.97,43.70%,406手,65.55,16.3万手,23.3万手,0.7,76手,12手,12.74,4.08亿,274亿元,2.88亿,193亿元,6.68%,22.80%,41.13%,84.63%
8,'300031,宝通科技,26.69,8.06%,1.99,54.7万手,4612手,26.69,26.7,0.00%,15.54%,14.3亿,25.25 ①,游戏Ⅱ,26.96,24.41,24.55,24.7,10.32%,3.06,0.84%,25手,26.15,21.3万手,33.3万手,0.64,287手,514手,2.73,4.19亿,112亿元,3.52亿,93.9亿元,16.55%,10.20%,29.54%,40.94%
9,'000988,华工科技,158.4,7.48%,11.02,142万手,1.05万手,158.4,158.41,-0.01%,14.16%,218亿,62.37 ①,自动化设备,159.69,147.28,151.06,147.38,8.42%,1.6,56.28%,1690手,153.27,69.6万手,72.7万手,0.96,2100手,449手,13.63,10.1亿,1593亿元,10.0亿,1592亿元,15.28%,7.35%,29.71%,58.29%
10,'002131,利欧股份,7.4,7.25%,0.5,1120万手,7.29万手,7.39,7.4,0.00%,19.13%,82.8亿,400.73 ①,通用设备,7.59,6.74,6.82,6.9,12.32%,2.78,-21.89%,-5.41万手,7.39,507万手,613万手,0.83,4.05万手,5.66万手,3.88,67.7亿,501亿元,58.5亿,433亿元,13.67%,6.32%,36.03%,53.60%
11,'300604,长川科技,224.05,7.11%,14.88,39.0万手,2583手,224.05,224.06,0.00%,7.97%,84.2亿,100.80 ①,半导体设备,227.68,203.15,208.49,209.17,11.73%,1.07,36.31%,310手,216.01,17.7万手,21.3万手,0.83,519手,13手,27.91,6.34亿,1421亿元,4.89亿,1097亿元,7.27%,2.58%,22.74%,45.23%
12,'300747,锐科激光,40.46,6.45%,2.45,45.0万手,7548手,40.45,40.46,0.02%,8.63%,17.7亿,135.78 ①,自动化设备,40.89,37.4,38.19,38.01,9.18%,1.37,-45.76%,-882手,39.24,20.3万手,24.8万手,0.82,353手,854手,6.6,5.62亿,227亿元,5.22亿,211亿元,7.32%,5.78%,19.40%,40.07%
13,'300054,鼎龙股份,77.01,6.00%,4.36,47.3万手,3345手,77.01,77.02,0.01%,6.40%,35.1亿,72.73 ①,电子化学品Ⅱ,78,69.79,71.6,72.65,11.30%,1.02,92.76%,1999手,74.37,22.2万手,25.1万手,0.89,186手,6手,13.37,9.48亿,730亿元,7.38亿,568亿元,10.84%,13.30%,19.05%,37.69%
14,'301568,思泰克,62.45,5.70%,3.37,5.66万手,959手,62.43,62.45,0.03%,11.88%,3.44亿,60.99 ①,其他自动化设备,62.62,58.17,58.65,59.08,7.53%,1.49,-49.60%,-250手,60.78,2.61万手,3.04万手,0.86,53手,335手,6.03,1.03亿,64.5亿元,4760万,29.7亿元,5.39%,5.04%,26.42%,51.80%
15,'301421,波长光电,109.43,4.52%,4.73,7.50万手,856手,109.42,109.43,0.01%,16.21%,8.03亿,489.06 ①,光学元件,109.5,102,103.18,104.7,7.16%,1.04,-39.80%,-324手,106.95,3.02万手,4.48万手,0.67,116手,351手,10.5,1.16亿,127亿元,4631万,50.7亿元,5.67%,2.91%,44.97%,93.82%
16,'300499,高澜股份,45.91,4.39%,1.93,44.2万手,5127手,45.91,45.92,0.02%,16.30%,19.6亿,231.39 ①,专用设备,45.94,42.42,43.03,43.98,8.00%,1.05,15.37%,471手,44.39,19.6万手,24.6万手,0.8,399手,301手,10.06,3.05亿,140亿元,2.71亿,125亿元,5.30%,3.47%,43.52%,94.01%
17,'300846,首都在线,31.88,4.32%,1.32,49.9万手,3431手,31.88,31.89,0.00%,12.72%,15.5亿,亏损 ①,IT服务Ⅲ,31.96,29.94,30.61,30.56,6.61%,1.13,-81.91%,-2611手,31.12,23.6万手,26.3万手,0.9,74手,135手,20.96,5.03亿,160亿元,3.92亿,125亿元,-0.28%,-0.16%,33.47%,68.88%
18,'000997,新 大 陆,23.67,4.32%,0.98,42.1万手,5312手,23.67,23.68,0.04%,4.17%,9.83亿,21.33 ①,计算机,23.67,22.6,22.69,22.69,4.72%,1.14,7.53%,747手,23.37,18.0万手,24.1万手,0.75,1627手,2487手,3.18,10.1亿,240亿元,10.1亿,238亿元,5.91%,5.25%,11.14%,22.55%
19,'002801,微光股份,34.33,4.16%,1.37,5.71万手,827手,34.31,34.33,0.18%,4.93%,1.94亿,14.27 ①,电力设备,34.88,32.8,33.1,32.96,6.31%,2.33,12.18%,53手,33.95,2.75万手,2.96万手,0.93,3手,150手,3.86,2.30亿,78.8亿元,1.16亿,39.8亿元,6.91%,2.66%,10.31%,15.54%
20,'002812,恩捷股份,78.47,4.07%,3.07,33.6万手,2824手,78.47,78.48,0.00%,4.08%,25.9亿,74.02 ①,电力设备,78.8,74.77,75.4,75.4,5.34%,0.89,63.11%,776手,77.19,16.1万手,17.5万手,0.92,294手,67手,3.01,9.82亿,771亿元,8.23亿,646亿元,3.55%,-4.06%,11.83%,26.99%
21,'300785,值得买,55.74,4.01%,2.15,18.1万手,2345手,55.74,55.75,0.00%,14.83%,10.1亿,774.89 ①,门户网站,56.18,52.6,53.06,53.59,6.68%,1.47,45.49%,424手,55.54,7.90万手,10.2万手,0.77,491手,46手,5.64,1.99亿,111亿元,1.22亿,68.2亿元,9.10%,-0.59%,34.32%,65.19%
22,'300058,蓝色光标,18.6,3.91%,0.7,503万手,4.68万手,18.6,18.61,0.05%,14.45%,93.3亿,132.38 ①,营销代理,19,17.53,17.73,17.9,8.21%,1.19,-33.95%,-1.98万手,18.56,231万手,272万手,0.85,6344手,6560手,8.38,35.9亿,668亿元,34.8亿,647亿元,7.20%,-1.74%,36.10%,75.36%
23,'300763,锦浪科技,107.95,3.69%,3.84,17.2万手,1485手,107.94,107.95,-0.03%,5.36%,18.5亿,175.64 ①,电力设备,109.38,104.25,104.25,104.11,4.93%,1.03,-92.95%,-686手,107.22,7.99万手,9.26万手,0.86,2手,12手,4.75,3.98亿,430亿元,3.22亿,347亿元,10.33%,4.91%,19.87%,31.37%
24,'002371,北方华创,619.7,3.63%,21.73,14.5万手,1307手,619.68,619.7,0.05%,2.00%,88.2亿,68.69 ①,半导体设备,627.17,581.5,590,597.97,7.64%,0.95,-89.06%,-228手,610.14,6.57万手,7.89万手,0.83,1手,177手,11.43,7.25亿,4492亿元,7.24亿,4488亿元,9.80%,8.11%,7.63%,12.51%
25,'000400,许继电气,27.43,3.59%,0.95,33.5万手,3689手,27.42,27.43,0.04%,3.31%,9.06亿,62.90 ①,电力设备,27.57,26.3,26.49,26.48,4.80%,1,1.45%,112手,27.04,13.9万手,19.6万手,0.71,1426手,845手,2.28,10.2亿,279亿元,10.1亿,278亿元,3.39%,1.11%,7.93%,19.94%
26,'300274,阳光电源,157.38,3.37%,5.13,101万手,7536手,157.38,157.39,0.05%,6.35%,160亿,35.60 ①,电力设备,161.32,153.72,154,152.25,4.99%,1.1,3.72%,32手,158.03,47.6万手,53.5万手,0.89,66手,103手,6.71,20.7亿,3263亿元,15.9亿,2502亿元,16.55%,9.78%,23.25%,35.32%
27,'002195,岩山科技,8.67,3.34%,0.28,279万手,1.78万手,8.67,8.68,-0.12%,4.97%,24.5亿,583.46 ①,IT服务Ⅲ,8.98,8.61,8.61,8.39,4.41%,1.33,30.42%,3.32万手,8.76,135万手,144万手,0.94,3.49万手,1.44万手,4.96,56.7亿,492亿元,56.2亿,487亿元,1.17%,-4.52%,12.45%,23.72%
28,'300624,万兴科技,68.97,3.16%,2.11,10.8万手,895手,68.96,68.97,0.00%,6.31%,7.40亿,亏损 ①,软件开发,69.95,66.24,66.66,66.86,5.55%,1.13,-80.76%,-596手,68.46,5.08万手,5.73万手,0.89,5手,557手,13.65,1.93亿,133亿元,1.71亿,118亿元,6.11%,-2.46%,18.04%,34.36%
29,'300184,力源信息,15.12,2.93%,0.43,116万手,1.85万手,15.11,15.12,0.13%,11.01%,17.3亿,31.68 ①,其他电子Ⅲ,15.14,14.48,14.95,14.69,4.49%,1.25,-2.08%,-476手,14.92,56.0万手,60.1万手,0.93,1539手,3222手,4.13,11.5亿,174亿元,10.5亿,159亿元,3.85%,0.67%,29.36%,54.96%
30,'002532,天山铝业,15.25,2.90%,0.43,67.8万手,3238手,15.24,15.25,0.00%,1.65%,10.2亿,7.95 ①,有色金属,15.29,14.76,14.94,14.82,3.58%,1.06,-10.07%,-645手,15.06,36.8万手,31.0万手,1.19,220手,1178手,2.25,46.3亿,706亿元,41.1亿,626亿元,-6.80%,-6.11%,5.32%,9.44%
