股票代码,股票名称,10日累计换手率(%),10日涨幅(%)
002396.SZ,星网锐捷,289.12,17.16
603538.SH,美诺华,227.93,2.81
000938.SZ,紫光股份,193.47,18.97
603118.SH,共进股份,149.6,23.7
000977.SZ,浪潮信息,138.88,2.29
600396.SH,华电辽能,120.81,34.29
603127.SH,昭衍新药,112.32,23.42
002317.SZ,众生药业,110.26,0.86
300204.SZ,舒泰神,107.8,5.44
300209.SZ,行云科技,107.71,6.49
002115.SZ,三维通信,104.53,10.85
002432.SZ,九安医疗,100.28,25.91
300139.SZ,晓程科技,91.85,8.08
300759.SZ,康龙化成,87.4,25.89
001896.SZ,豫能控股,84.59,13.4
002440.SZ,闰土股份,82.78,38.2
603893.SH,瑞芯微,80.13,3.2
